

Windows-1252;;kunta_1_20220101#hyvinvointialue_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'927'";"Vihti";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'931'";"Viitasaari";"'15'";"Keski-Suomen hyvinvointialue"
"'934'";"Vimpeli";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'935'";"Virolahti";"'10'";"Kymenlaakson hyvinvointialue"
"'936'";"Virrat";"'08'";"Pirkanmaan hyvinvointialue"
"'941'";"Vårdö";"'91'";"Ahvenanmaa"
"'946'";"Vöyri";"'17'";"Pohjanmaan hyvinvointialue"
"'976'";"Ylitornio";"'21'";"Lapin hyvinvointialue"
"'977'";"Ylivieska";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'980'";"Ylöjärvi";"'08'";"Pirkanmaan hyvinvointialue"
"'981'";"Ypäjä";"'07'";"Kanta-Hämeen hyvinvointialue"
"'989'";"Ähtäri";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'992'";"Äänekoski";"'15'";"Keski-Suomen hyvinvointialue"

